bin,total_avg,avg_elapsed,total_sum,total_min,total_max,eval_set,total_cases
v001_mc_target,501440.240000,0.070000,50144024,308745,757681,all,100
v002_time_adaptive_mc,621190.790000,1.880000,62119079,276495,812834,all,100
v003_time_random_rollout,335235.720000,1.880000,33523572,185407,534231,all,100
v004_deep_rollout_fast,568398.620000,1.880000,56839862,334726,774686,all,100
v010_three_sides_sort,231617.760000,0.020000,23161776,120365,477980,all,100
v005_time_adaptive_fast,552123.150000,1.880000,55212315,294223,774590,all,100
v011_next_surface_greedy,497780.100000,0.040000,49778010,201900,740436,all,100
v012_two_step_surface_greedy,475499.570000,0.040000,47549957,234455,795724,all,100
v006_budget_shaped_mc,629777.040000,1.910000,62977704,404944,879624,all,100
v007_no_loss_fast_eval,626324.700000,1.880000,62632470,412778,807490,all,100
v008_fixed_target_mc,625356.240000,1.880000,62535624,381579,853556,all,100
v009_no_target_mc,664474.690000,1.850000,66447469,345716,919215,all,100
v021_boundary_majority,650180.510000,1.880000,65018051,372315,838784,all,100
v101_simple_mc,635094.430000,1.920000,63509443,452896,792085,all,100
v102_policy_rollout_mc,543034.250000,1.840000,54303425,310548,755698,all,100
v103_open_loop_mcts,318548.470000,1.880000,31854847,156898,526995,all,100
v104_priority_rollout_mc,630997.770000,1.910000,63099777,394225,819149,all,100
v104_priority_rollout_mc,740777.180000,1.870000,74077718,582011,887707,all,100
v105_depth3_prefix_mc,652458.410000,1.880000,65245841,377738,887877,all,100
v106_depth5_prefix_mc,697491.230000,1.920000,69749123,417304,901610,all,100
v107_depth10_prefix_mc,467040.790000,1.840000,46704079,183165,763802,all,100
v107_depth10_prefix_mc,511171.570000,1.880000,51117157,248239,753043,all,100
v110_next_surface_mc,554053.710000,1.920000,55405371,242155,730907,all,100
v111_priority_greedy_rollout_mc,570773.300000,1.910000,57077330,377146,737580,all,100
v112_depth5_greedy_tail_mcts,559464.140000,1.880000,55946414,361095,772754,all,100
v113_fast_greedy_rollout_mc,659240.670000,1.870000,65924067,488942,816901,all,100
v114_aggressive_fast_greedy_rollout_mc,678158.260000,1.870000,67815826,494308,823529,all,100
v115_fast_next_surface_mc,679279.540000,1.920000,67927954,525797,822851,all,100
v116codex_future_weighted_surface,224237.300000,0.040000,22423730,105420,569452,all,100
v117codex_region_potential,209262.880000,0.040000,20926288,95981,477954,all,100
v120_target_surface_greedy,441946.250000,0.040000,44194625,170804,829751,all,100
v121_pair_table_greedy,664662.070000,0.040000,66466207,344748,902891,all,100
v122_table_policy_mc,794423.840000,1.880000,79442384,596954,928690,all,100
v123_depth3_table_mcts,781872.830000,1.920000,78187283,604107,921382,all,100
v124_time_shaped_table_mc,790056.730000,1.920000,79005673,650870,947055,all,100
v124_time_shaped_table_mc,778475.090000,1.840000,77847509,588340,914906,all,100
v124_time_shaped_table_mc,785480.970000,1.920000,78548097,619416,901707,all,100
v124_time_shaped_table_mc,780596.000000,1.920000,78059600,616108,915000,all,100
v201_precomputed_policy_mc,787275.060000,1.920000,78727506,591474,910211,all,100
v202_common_random_mc,810847.930000,1.920000,81084793,641975,931136,all,100
